REPORTDATE,OFFENSE_CODE,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,NEIGHBORHOOD_ID
2/12/2015,2305,THEFT - ITEMS FROM VEHICLE,Theft from Motor Vehicle,washington-park-west
8/6/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,lincoln-park
5/20/2015,2204,BURGLARY - RESIDENCE NO FORCE,Burglary,northeast-park-hill
1/14/2016,2305,THEFT - ITEMS FROM VEHICLE,Theft from Motor Vehicle,jefferson-park
1/11/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,virginia-village
4/25/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,northeast-park-hill
12/5/2014,1313,ASSAULT - SIMPLE,Simple Assault,rosedale
5/2/2014,2203,BURGLARY - BUSINESS BY FORCE,Burglary,sunnyside
2/20/2013,2203,BURGLARY - BUSINESS BY FORCE,Burglary,ruby-hill
6/12/2014,1313,ASSAULT - SIMPLE,Simple Assault,globeville
8/29/2014,2204,BURG/AUTO THEFT-RESD NO FORCE,Burglary,washington-virginia-vale
2/19/2014,2204,BURGLARY - RESIDENCE NO FORCE,Burglary,villa-park
10/7/2014,2203,BURGLARY - BUSINESS BY FORCE,Burglary,elyria-swansea
4/16/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,washington-park-west
3/29/2016,2999,CRIMINAL MISCHIEF - OTHER,Criminal Mischief-Property,montbello
10/2/2015,2305,THEFT - ITEMS FROM VEHICLE,Theft from Motor Vehicle,lincoln-park
9/28/2014,1205,ROBBERY - STREET,Robbery-Street-Res,westwood
7/29/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,ruby-hill
7/20/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,valverde
8/5/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,globeville
6/16/2016,1205,ROBBERY - STREET,Robbery-Street-Res,north-capitol-hill
9/28/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,college-view-south-platte
7/24/2013,2201,BURGLARY - SAFE,Burglary,globeville
3/20/2013,2203,BURGLARY - BUSINESS BY FORCE,Burglary,cole
10/23/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,civic-center
9/12/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,elyria-swansea
3/23/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,college-view-south-platte
9/29/2016,2204,BURGLARY - RESIDENCE NO FORCE,Burglary,five-points
9/22/2016,2399,THEFT - OTHER,Larceny,ruby-hill
10/27/2016,2399,THEFT - OTHER,Larceny,ruby-hill
7/12/2013,2203,BURGLARY - BUSINESS BY FORCE,Burglary,college-view-south-platte
9/21/2016,1212,ROBBERY - CAR JACKING,Robbery-Street-Res,highland
5/26/2015,1313,ASSAULT - SIMPLE,Simple Assault,auraria
9/19/2016,1208,ROBBERY - RESIDENCE,Robbery-Street-Res,gateway-green-valley-ranch
9/21/2016,3560,DRUG - MARIJUANA SELL,Drug Offenses,elyria-swansea
9/21/2016,3560,DRUG - MARIJUANA SELL,Drug Offenses,sunnyside
10/9/2016,3563,DRUG - MARIJUANA CULTIVATION,Drug Offenses,whittier
10/22/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,elyria-swansea
10/9/2016,1315,AGGRAVATED ASSAULT,Agg ASLT-Firearm,whittier
9/21/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,south-park-hill
9/5/2016,2204,BURGLARY - RESIDENCE NO FORCE,Burglary,mar-lee
2/7/2013,1313,ASSAULT - SIMPLE,Simple Assault,city-park-west
12/22/2014,5213,WEAPON- UNLAWFUL DISCHARGE OF,Weapons Offense,westwood
1/27/2013,2203,BURGLARY - BUSINESS BY FORCE,Burglary,west-highland
4/9/2013,2203,BURGLARY - BUSINESS BY FORCE,Burglary,athmar-park
9/20/2016,2503,FORGERY - COUNTERFEIT OF OBJ,All Other Crimes,five-points
4/29/2012,2202,BURGLARY - RESIDENCE BY FORCE,Burglary,washington-virginia-vale
10/29/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,globeville
9/23/2016,2399,THEFT - OTHER,Larceny,ruby-hill
9/3/2016,1202,ROBBERY - BUSINESS,Robbery-Business,clayton
10/9/2016,2399,THEFT - OTHER,Larceny,washington-virginia-vale
10/28/2016,1202,ROBBERY - BUSINESS,Robbery-Business,baker
12/22/2014,3560,DRUG - MARIJUANA SELL,Drug Offenses,westwood
